x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-119
120;-115
120;-108
120;-104
120;-101
120;-97
120;-90
120;-86
120;-82
120;-79
120;-71
120;-68
120;-64
120;-61
120;-53
120;-50
120;-46
120;-42
120;-35
120;-31
120;-28
120;-24
120;-17
120;-13
120;-9
120;-6
120;0
120;4
120;8
120;12
120;19
120;22
120;26
120;30
120;37
120;42
120;46
120;51
120;61
120;65
120;67
120;68
120;70
120;73
120;74
120;75
120;75
120;75
120;75
120;75
120;77
120;79
120;80
120;82
120;83
120;89
120;93
120;97
120;104
120;107
120;111
120;115
120;122
120;126
120;129
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
