x;y
-143;-130
-142;-130
-141;-130
-140;-130
-140;-130
-133;-130
-129;-130
-126;-130
-122;-130
-115;-130
-111;-130
-108;-130
-104;-130
-97;-130
-93;-130
-90;-130
-86;-130
-79;-130
-75;-130
-72;-130
-68;-130
-61;-130
-57;-130
-54;-130
-50;-130
-43;-130
-39;-130
-36;-130
-32;-130
-25;-130
-21;-130
-18;-130
-11;-130
-7;-130
-4;-130
3;-130
6;-130
10;-130
13;-130
20;-130
24;-130
28;-130
31;-130
35;-130
38;-130
46;-130
49;-130
53;-130
57;-130
64;-130
67;-130
71;-130
78;-130
82;-130
87;-130
96;-130
101;-130
105;-130
110;-130
113;-130
117;-130
124;-130
127;-130
130;-130
132;-130
135;-130
137;-130
139;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
140;-130
