x;y
140;-130
137;-130
134;-129
127;-127
124;-125
120;-124
117;-123
108;-116
103;-111
98;-107
94;-102
93;-98
91;-91
90;-87
89;-84
88;-77
88;-73
88;-69
88;-66
88;-58
88;-55
88;-51
88;-47
88;-44
88;-40
85;-32
80;-27
76;-23
69;-17
66;-13
63;-10
55;-5
51;-5
48;-5
44;-5
40;-5
32;-5
28;-5
24;-5
21;-5
13;-5
9;-5
5;-5
1;-5
-6;-5
-9;-5
-13;-5
-17;-4
-25;-2
-29;-1
-33;0
-37;0
-47;9
-51;14
-56;19
-61;24
-62;31
-62;35
-62;38
-62;42
-62;50
-62;53
-62;57
-62;60
-62;68
-62;71
-62;75
-62;79
-62;86
-62;90
-63;93
-73;102
-76;102
-80;102
-84;102
-86;101
-82;101
-74;99
-70;99
-62;97
-62;97
-55;96
-51;96
-44;94
-40;94
-44;93
-48;93
-55;91
-59;91
-63;90
-67;90
-71;90
-78;92
-81;92
-85;93
-86;94
-86;95
-86;96
-86;96
-86;98
-86;98
-86;99
-86;99
-86;99
-86;99
-87;99
-88;99
-89;99
-91;99
-92;99
-94;99
-98;99
-98;99
-102;99
-104;99
-110;99
-110;99
-116;99
-119;99
-122;99
-129;99
-133;99
-137;99
-141;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
-145;99
