x;y
124;-130
117;-129
113;-126
110;-122
103;-116
99;-113
96;-109
88;-101
84;-97
80;-94
77;-90
73;-87
70;-83
70;-80
70;-72
70;-65
70;-61
70;-58
70;-54
70;-50
70;-47
70;-39
70;-36
70;-32
70;-28
70;-21
70;-18
65;-11
61;-8
58;-5
54;-1
51;0
43;0
39;0
35;0
31;0
28;0
25;0
33;0
37;0
41;0
48;0
52;0
56;0
64;0
67;0
71;0
75;0
83;0
87;0
91;0
95;1
91;4
87;6
84;7
81;9
77;14
77;16
77;19
77;21
77;24
77;26
77;27
77;28
77;30
77;31
76;31
72;31
68;30
60;29
56;28
52;27
51;25
49;24
48;22
47;21
41;18
37;17
34;15
30;14
26;13
26;11
30;10
34;9
38;9
46;7
50;7
54;6
62;4
66;4
70;3
64;2
61;2
57;2
53;2
49;2
46;2
45;2
44;2
43;2
41;2
38;2
36;2
34;2
29;2
27;2
26;2
24;2
23;2
23;2
22;2
20;2
19;2
18;2
17;2
16;2
16;2
16;2
16;2
16;2
16;2
16;2
16;2
16;2
16;2
16;2
16;4
16;4
16;5
16;6
16;6
16;6
16;6
16;6
16;6
17;6
17;6
19;6
19;6
20;6
21;6
21;6
23;6
23;6
24;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;6
25;7
25;8
25;11
25;12
25;13
25;14
25;17
25;18
25;19
25;20
24;21
23;21
22;21
20;21
19;21
17;21
14;21
11;21
6;21
3;21
0;23
-2;25
-3;27
-5;28
-6;30
-8;36
-8;40
-8;43
-8;46
-8;49
-9;53
-11;55
-13;56
-16;60
-18;60
-20;60
-23;60
-31;60
-35;60
-39;60
-43;60
-50;60
-54;60
-58;60
-62;61
-67;63
-73;66
-75;68
-77;69
-79;71
-82;77
-82;79
-82;84
-82;87
-82;91
-82;94
-82;98
-82;101
-82;105
-82;110
-85;113
-87;114
-90;115
-92;116
-95;116
-97;116
-101;116
-102;116
-104;116
-106;116
-107;116
-111;116
-113;116
-114;116
-116;116
-119;116
-119;116
-119;116
-119;116
-119;116
-119;116
-119;116
-119;116
-119;116
-119;119
-119;120
-119;121
-119;122
-119;123
-119;124
-117;126
-114;127
-112;128
-110;129
