time;x;y;fx;fy
63;120;-120;0;-53
126;120;-120;0;-53
189;120;-120;0;-53
252;120;-120;0;-53
315;120;-120;0;-51
378;120;-120;0;-51
441;120;-120;0;-51
504;120;-120;0;-51
567;120;-120;0;-51
630;120;-120;0;-46
693;120;-120;0;-46
756;120;-120;0;-46
819;120;-120;0;-46
882;120;-120;0;-46
945;120;-120;0;-35
1008;120;-120;0;-35
1071;120;-120;0;-35
1134;120;-120;0;-35
1197;120;-120;0;-27
1260;120;-120;0;-27
1323;120;-120;0;-27
1386;120;-120;0;-27
1449;120;-120;0;-27
1512;120;-120;0;0
1575;120;-120;0;0
1638;120;-120;0;0
1701;120;-120;0;0
1764;120;-120;0;0
1827;120;-120;0;0
1890;120;-120;0;0
1953;120;-120;0;0
2016;120;-119;0;389
2079;120;-115;0;389
2142;120;-108;0;389
2205;120;-104;0;389
2268;120;-101;0;389
2331;120;-97;0;389
2394;120;-90;0;393
2457;120;-86;0;393
2520;120;-82;0;393
2583;120;-79;0;393
2646;120;-71;0;533
2709;120;-68;0;533
2772;120;-64;0;533
2835;120;-61;0;533
2898;120;-53;0;533
2961;120;-50;0;512
3024;120;-46;0;512
3087;120;-42;0;512
3150;120;-35;0;512
3213;120;-31;0;512
3276;120;-28;0;526
3339;120;-24;0;526
3402;120;-17;0;526
3465;120;-13;0;526
3528;120;-9;0;526
3591;120;-6;0;434
3654;120;0;0;434
3717;120;4;0;434
3780;120;8;0;434
3843;120;12;0;434
3906;120;19;0;321
3969;120;22;0;321
4032;120;26;0;321
4095;120;30;0;321
4158;120;37;0;275
4221;120;42;0;275
4284;120;46;0;275
4347;120;51;0;275
4410;120;61;0;275
4473;120;65;0;139
4536;120;67;0;139
4599;120;68;0;139
4662;120;70;0;139
4725;120;73;0;139
4788;120;74;0;139
4851;120;75;0;0
4914;120;75;0;0
4977;120;75;0;0
5040;120;75;0;0
5103;120;75;0;0
5166;120;77;0;143
5229;120;79;0;143
5292;120;80;0;143
5355;120;82;0;143
5418;120;83;0;143
5481;120;89;0;545
5544;120;93;0;545
5607;120;97;0;545
5670;120;104;0;545
5733;120;107;0;456
5796;120;111;0;456
5859;120;115;0;456
5922;120;122;0;456
5985;120;126;0;456
6048;120;129;0;252
6111;120;130;0;252
6174;120;130;0;252
6237;120;130;0;252
6300;120;130;0;252
6363;120;130;0;92
6426;120;130;0;92
6489;120;130;0;92
6552;120;130;0;92
6615;120;130;0;92
6678;120;130;0;0
6741;120;130;0;0
6804;120;130;0;0
6867;120;130;0;0
6930;120;130;0;0
6993;120;130;0;0
7056;120;130;0;0
7119;120;130;0;0
7182;120;130;0;0
7245;118;130;-208;-39
7308;116;130;-208;-39
7371;113;130;-208;-39
7434;111;130;-208;-39
7497;106;130;-208;-39
7560;103;129;-444;-95
7623;100;128;-444;-95
7686;96;128;-444;-95
7749;89;126;-444;-95
7812;85;125;-444;-95
7875;81;123;-390;-346
7938;72;114;-390;-346
8001;67;109;-390;-346
