x;y
120;-120
121;-120
122;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-119
124;-115
124;-111
124;-104
124;-101
124;-97
124;-93
124;-86
124;-82
124;-79
124;-75
124;-68
124;-64
124;-60
124;-57
124;-49
124;-46
124;-42
124;-38
124;-31
124;-27
124;-24
124;-20
124;-13
124;-9
124;-5
124;-2
124;4
124;8
124;12
124;15
124;23
124;26
124;30
124;34
124;41
124;45
124;48
124;52
124;59
124;63
124;67
124;70
124;78
124;81
124;85
124;87
124;89
124;90
124;91
124;92
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;93
124;96
124;99
124;103
124;106
124;112
124;116
124;120
124;123
124;130
124;130
124;130
124;130
124;130
124;130
124;130
124;130
124;130
124;130
124;130
124;130
