x;y
135;-31
135;-30
135;-28
135;-24
135;-19
135;-15
135;-10
132;-6
127;0
124;3
122;5
119;8
115;10
106;15
103;16
95;20
92;22
88;23
85;25
80;27
76;29
72;32
63;36
54;40
50;42
46;44
42;45
37;46
33;48
25;50
21;50
14;50
10;50
6;50
2;50
-1;50
-9;50
-12;50
-16;50
-24;50
-28;50
-32;50
-35;50
-43;50
-47;50
-51;50
-55;50
-58;50
-62;50
-70;51
-78;54
-82;55
-85;57
-88;58
-90;61
-95;69
-97;73
-99;77
-100;81
-102;83
-103;85
-106;87
-108;89
-111;90
-114;91
-121;94
-124;95
-125;96
-126;97
-127;98
-129;100
-129;101
-129;102
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-129;103
-128;103
-127;103
-126;103
-124;103
-123;103
-116;103
-113;103
-109;103
